location,title,company,salary,summary
"Dallas, TX 75201 (City Center District area)",Sr. Data Scientist,Lawrence Harvey,"$150,000 - $230,000 a year","Candidates and 7 years for Masters candidatesMinimum 5 years of work experience in relevant domains (Energy, Oil & Gas, Chemicals, Natural Resources, Mining &..."
"Horsham, PA",Sr. Data Scientist,Smith Hanley Associates,"$120,000 a year",
"Horsham, PA",Sr. Data Scientist,Smith Hanley Associates,"$120,000 a year","Or Master's Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline...."
"New York, NY",Sr. Data Scientist,PMES,"$155,000 a year",
"San Ramon, CA",Sr. Data Scientist,PMES,"$150,000 a year",
"New York, NY",Sr. Data Scientist,PMES,"$155,000 a year","Data manipulation and analysis using SQL, noSQL, Java, C, SAS, and machine learning suites such as Mahout, Weka, and RapidMiner:...."
"Houston, TX",Sr. Data Scientist,"Horn Solutions, Inc.","$105,000 a year",Clearly communicate the business and technical benefits of analytics and visualization to both business and technical audiences....
"Berkeley, CA 94705",Sr. Data Scientist,Redfish Technology,"$250,000 a year","As a Solution Architect, you are responsible for leading a team consisting of highly skilled data engineers, data scientists, and/or data strategists to design..."
"Chicago, IL 60661 (Near West Side area)",Sr. Data Scientist,Modis,$85 - $110 an hour,"The top skills needed in order to be successful in this contract job are expert-level hands-on experience in R, SQL Server or similar RDBMS tools, the ability..."
"Los Angeles, CA",Sr. Data Scientist,ConSol Partners,"$160,000 a year","Leading content discovery platform seeking Senior Data Scientist to join evolving, entrepreneurial Big Data team with their rapidly growing organization...."
"Campbell, CA",Sr. Data Scientist,TERADEEP INC.,"$120,000 - $160,000 a year",
"Campbell, CA",Sr. Data Scientist,TERADEEP INC.,"$120,000 - $160,000 a year","MS / PhD degree in Computer Science, Applied Mathematics, Computer Engineering, Applied Physics or related quantitative field with 5-10+ years of relevant..."
"Washington, DC",Data Scientist Intern,Central Intelligence Agency,$21.44 - $25.84 an hour,Students serving as Data Scientist interns work side-by-side with other data scientists using advanced hardware and software to create and develop computational...
