location,title,company,salary,summary
"Jacksonville, FL",Data Scientist,Steeful,"$75,000 a year",SAS ‰ÛÒ fancy data manipulation; Healthcare and marketing/customer care horizontal....
"New York, NY",Data Scientist,Oliver James Associates,"$160,000 a year","Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and..."
"Chicago, IL",Data Scientist,Workbridge Associates,$65 an hour,"The ideal candidate will have a strong sense of predictive modeling or machine learning experience and has been hands on using Python, R, Hadoop, Spark, and..."
"Washington, DC",Data Scientist,"Gunther Douglas, Inc.","$110,000 - $140,000 a year","Five (5) or more years of relevant advanced analytics experience ‰ÛÒ strong proficiency in advanced statistical, predictive and machine learning techniques (agent..."
"Philadelphia, PA 19103 (Belmont area)",Data Scientist,"Computer Enterprises, Inc.","$130,000 - $150,000 a year","Excel, SQL, SAS, R, and Tableau) through determination of appropriate analytic approach (sample data analysis, trending, regression, etc.).Distilling analytic..."
"New York, NY",Data Scientist,Harnham,"$150,000 a year",Data Scientist - Financial Services. Data Scientist | Predictive Models | Machine Learning | Financial Services....
"Boston, MA",Data Scientist,The Bivium Group,"$140,000 a year","Pattern recognition or machine learning‰Û¢ data mining, manipulation, analysis, charting and other visualization and reporting tools...."
"San Jose, CA 95113 (Downtown area)",Data Scientist,Jobspring Partners,"$130,000 - $180,000 a year","Proficient in programming (Python, R, etc.). Deep knowledge in hypothesis testing and statistical inference. You‰Ûªre accustomed to a data-driven, experimentation..."
"Atlanta, GA",Data Scientist,Harnham,"$170,000 a year","Machine learning, data visualization, statistical modeling, data mining, or information retrieval. The award winning Advanced Data & Analytics team is involved..."
"Portland, OR",Data Scientist,WSI Nationwide,"$120,000 - $165,000 a year","Our Data Scientists design, develop, and implement data-driven solutions using machine learning technologies and advanced statistical analyses...."
"New York, NY",Data Scientist,Harnham,"$125,000 a year",Data Scientist - Modeling. Senior Data Scientist | Media | Computer Science | Machine Learning | Modeling | Data Engineering....
"Chicago, IL",Data Scientist,S.C. International,"$130,000 a year","Seeking a self-starter with 3+ years of professional experience in statistical modeling, data science, machine learning, data or text mining, and data..."
"Atlanta, GA",Data Scientist,Analytic Recruiting,"$70,000 - $145,000 a year","Supply Chain, SAS, R, Predictive Modeling, Predictive Analytics, SQL. Data Scientist, Supply Chain sought by Fortune 500 company to be part of a leading-edge..."
"Chicago, IL",Data Scientist,Hirewell,"$120,000 a year","Expertise in text mining, NLP methods, information extraction and/or machine learning. Bring structure to large quantities of data - turn unstructured data into..."
"Los Angeles, CA 90036",Data Scientist,Lendmart,"$55,000 a year","Undertaking knowledge discovery and data mining in large transactional datasets. Performing data extraction, transformation and loading from multiple data..."
"San Carlos, CA",Data Scientist,Jobspring Partners,$85 an hour,Medical Insurance & Health Savings Account (HSA). The ideal candidate would have to be well-versed in programming in either Python or R and they should have...
"San Jose, CA 95113 (Downtown area)",Data Scientist,Workbridge Associates,"$190,000 a year","Background in Python, R, Machine Learning, Hadoop, Spark and Bayesian modeling. The solution comes pre-loaded with a comprehensive library of banking-specific..."
"San Francisco, CA 94105 (Financial District area)",Data Scientist,Workbridge Associates,"$200,000 a year","This ground floor opportunity involves using machine learning techniques to analyze data collected from social media text, images, and video...."
"Los Angeles, CA",Data Scientist,CSU Northridge,"$4,372 - $9,683 a month",Analyze problems and propose effective solution; Experience working with institutional research and /or higher education data strongly preferred....
"Northridge, CA",Data Scientist,California State University,"$4,372 - $7,650 a month","Data Scientist (JID 6086). In support of this mission, Institutional Research provides university data to meet reporting requirements, communicates relevant..."
"Brisbane, CA",Data Scientist,Corporate Labs Technology,"$110,000 - $180,000 a year",Machine Learning Developer. Fast growing social media company is looking to add to their team. Sign on bonus....
"Chicago, IL",Data Scientist,Workbridge Associates,"$130,000 a year",A fast growing data analytics consulting shop is looking expand the development team by adding a Data Scientist in their Chicago office....
"Washington, DC",Data Scientist,Jobspring Partners,"$150,000 - $250,000 a year","The data scientist will develop and implement new methods. Generous base salary and bonuses, Full health benefits, generous 401k match plan, flexible Friday..."
"New York, NY",Data Scientist,Averity,"$110,000 - $130,000 a year","Machine Learning is at the core of everything we do, and we are building internal products to serve our various departments using Machine Learning...."
"Brisbane, CA",Data Scientist,Corporate Labs Technology,"$110,000 - $180,000 a year",Fast growing social media company is looking to add to their team. Natural Language Processing....
"New York, NY",Data Scientist,Averity,"$180,000 - $250,000 a year","If you are a Data Scientist with a particular interest in applying data analytics to the field of HR and People's Analytics, this is a unique opportunity...."
"Chicago, IL",Data Scientist,Workbridge Associates,"$75,000 - $110,000 a year",A digital marketing firm located in River North is looking for a Data Scientist to join their growing analytics team....
